
ARTHUR LIRA;160541;PP;AL;1599.99;8477.45;21339.19;2351.66;22010.08;8265.5;26189.58;7695.26
ARTHUR OLIVEIRA MAIA;160600;DEM;BA;9537.44;15692.34;18775.95;12770.5;9439.07;10943.67;15923.77;15174.11
ASSIS CARVALHO;159237;PT;PI;9946.07;13675.69;12356.23;32817.86;26820.89;24170.05;28953.5;2221.4
ÁTILA LINS;74090;PP;AM;24044.58;65285.81;16487.88;78254.69;3811.23;41710.89;29210.9;2551.81
ÁTILA LIRA;74459;PP;PI;15968.96;14804.26;15630.67;11404.75;17120.06;25079.52;15759.57;16132.47
AUGUSTO COUTINHO;160665;SOLIDARIEDADE;PE;14282.17;15294.55;15154.74;15033.32;13927.1;14922.82;13100.19;13635.16
ÁUREA CAROLINA;204509;PSOL;MG;9292.69;2623.89;6037.7;14666.63;12893.93;12238.57;15573.35;32428.74
AUREO RIBEIRO;160512;SOLIDARIEDADE;RJ;15921.24;14167.34;8459.15;8436.19;7773.25;4543.41;7428.05;1357.8
BACELAR;69871;PODE;BA;18768.39;22133.48;26594.7;45861.01;24193.27;21072.04;9879.71;25144.27
BALEIA ROSSI;178975;MDB;SP;15205.22;15006.86;15636.22;16236.4;15091.91;13996.56;14046.05;13961.32
BENEDITA DA SILVA;73701;PT;RJ;7383.28;8281.29;12718.62;14491.87;10916.56;10524.89;10889.56;12182.57
BENES LEOCÁDIO;109429;REPUBLICANOS;RN;7944.94;8105.88;7750.04;7565.83;7938.4;8033.62;8220.8;8249.74
BETO FARO;141335;PT;PA;36524.47;41640.77;50076.7;33151.3;33267.16;30977.66;44846.88;24764.71
BETO PEREIRA;204358;PSDB;MS;18549.3;16503.53;10880.63;15356.58;9931.69;8419.26;24993.58;34325.04
BETO ROSADO;178948;PP;RN;16280.85;18404.81;17980.6;17782.79;19416.56;10600.2;18724.24;8103.21
BIA CAVASSA;207176;PSDB;MS;12584.15;13046.58;5268.07;3654.3;3652.9;3581.07;3743.6;3273.23
BIA KICIS;204374;PSL;DF;1709.72;6049.33;7307.51;7790.78;7955.59;7892.58;7869.22;6610.85
BIBO NUNES;204388;PSL;RS;6824.13;5793.51;4664.38;5427.56;5612.5;4823.96;5690.93;5299.99
BIRA DO PINDARÉ;204561;PSB;MA;15461.71;11562.6;6498.98;8102.67;17708.59;9547.87;7388.9;20320.96
BOCA ABERTA;204397;PROS;PR;4252.07;2460.5;16057.68;17894.66;34199.18;33269.14;37518.24;16153.68
BOHN GASS;160538;PT;RS;10987.2;9485.67;8819.38;11021.78;8671.65;11758.2;11987.95;6806.63
BOSCO COSTA;74052;PL;SE;28902.61;23780.2;21479.74;26250.93;4761.5;9805.22;11969.07;17717.32
BOSCO SARAIVA;204551;SOLIDARIEDADE;AM;25085.0;29760.6;14655.32;8845.61;9035.19;9779.06;26863.0;26471.34
BRUNA FURLAN;160589;PSDB;SP;12467.25;5259.2;19175.61;9512.28;13877.14;12211.87;12020.95;13907.23
CACÁ LEÃO;93083;PP;BA;6938.64;7312.89;6968.3;8211.74;5096.36;7716.96;17816.72;6550.88
CAMILO CAPIBERIBE;204352;PSB;AP;15908.5;18401.29;13512.54;24301.23;22361.5;21998.19;21564.62;21929.08
CAPITÃO ALBERTO NETO;204572;REPUBLICANOS;AM;2246.12;2403.84;4402.2;5343.81;11613.3;5578.93;4971.27;30492.64
CAPITÃO AUGUSTO;178829;PL;SP;10446.79;9475.53;9460.06;9298.85;9638.86;9497.85;6755.06;6582.12
CAPITÃO WAGNER;204487;PROS;CE;13456.4;29266.64;5858.13;3028.22;9800.3;2659.51;2916.07;2597.07
CARLA ZAMBELLI;204507;PSL;SP;12618.12;6501.86;7248.92;18724.61;11226.08;10938.58;11108.57;10575.65
CARLOS BEZERRA;141401;MDB;MT;13429.42;0.0;0.0;0.0;69.1;50443.52;41991.08;47920.57
CARLOS CHIODINI;204361;MDB;SC;4451.33;4736.85;5580.2;5108.75;4543.52;4893.7;4178.18;12096.26
CARLOS GOMES;178962;REPUBLICANOS;RS;8158.47;8330.39;7985.5;7838.34;8165.8;7741.16;8475.47;7791.15
CARLOS HENRIQUE GAGUIM;178993;DEM;TO;13209.7;14450.8;9688.92;11647.61;10734.5;12763.74;10777.4;12074.6
CARLOS JORDY;204460;PSL;RJ;20268.49;21443.23;18896.71;18747.15;18456.3;12367.82;12416.23;12134.08
CARLOS SAMPAIO;74262;PSDB;SP;7362.46;6578.36;5635.19;7923.36;5567.11;8584.81;8169.76;7583.47
CARLOS VERAS;204426;PT;PE;5821.08;5375.36;4551.21;5599.29;6532.8;5856.95;6434.57;5311.89
CARLOS ZARATTINI;141398;PT;SP;9891.91;19348.62;10661.42;10509.81;10749.45;10898.62;10863.19;11298.55
CARMEN ZANOTTO;164360;CIDADANIA;SC;9037.51;8141.31;6847.9;6997.79;6371.12;6678.54;7073.48;6859.87
CAROLINE DE TONI;204369;PSL;SC;4217.68;2062.92;3252.19;2819.86;3045.77;4617.0;2699.71;10815.5
CÁSSIO ANDRADE;204499;PSB;PA;2894.0;3125.88;2778.52;2520.74;3035.3;3393.15;3324.01;3149.24
CELINA LEÃO;204380;PP;DF;15252.67;13764.8;15838.14;26195.31;34529.63;34022.89;44028.64;47395.66
CÉLIO MOURA;204370;PT;TO;3603.41;3830.17;6435.76;6558.47;6570.95;6290.61;6932.99;7055.42
CÉLIO SILVEIRA;178876;PSDB;GO;41688.47;32250.67;32726.82;21659.11;65219.53;23786.73;34769.99;35366.24
CÉLIO STUDART;204488;PV;CE;9258.72;16983.13;4920.63;5436.24;5540.43;12047.28;18650.7;15278.56
CELSO MALDANER;141405;MDB;SC;5347.58;4056.78;4202.63;4545.67;3931.63;3936.18;3961.84;3698.8
CELSO RUSSOMANNO;73441;REPUBLICANOS;SP;2440.68;2771.93;2785.46;3000.18;3699.25;2251.2;3106.24;2823.86
CELSO SABINO;204496;PSDB;PA;39626.28;13237.44;83122.17;29656.2;55828.09;14792.98;31464.11;28632.09
CEZINHA DE MADUREIRA;204504;PSD;SP;12018.72;6017.45;5599.26;5116.08;5490.27;27998.96;5499.88;5288.81
CHARLES FERNANDES;205476;PSD;BA;6752.31;35650.98;3309.99;3208.68;5851.42;20569.76;33180.56;6120.65
CHARLLES EVANGELISTA;204490;PSL;MG;17988.68;17652.95;9594.43;19863.05;8764.21;22642.42;19219.08;9841.2
CHICO D'ANGELO;141439;PDT;RJ;16699.85;5060.1;23449.91;8408.47;20597.01;6857.81;11065.86;6935.62
CHIQUINHO BRAZÃO;204476;AVANTE;RJ;11386.31;10063.19;5681.85;9637.49;12684.53;15246.78;21412.88;35197.56
CHRIS TONIETTO;204462;PSL;RJ;9774.09;14375.99;25144.23;21145.0;19903.0;19754.38;16195.23;3345.42
CHRISTIANE DE SOUZA YARED;178928;PL;PR;11704.09;15775.62;10176.55;10172.86;10102.88;25805.6;25892.46;20814.97
CHRISTINO AUREO;204440;PP;RJ;5578.78;6037.74;9997.81;2924.24;13003.2;9569.36;4785.85;4034.03
CLARISSA GAROTINHO;178939;PROS;RJ;2043.03;1850.16;10285.03;1107.88;981.67;4576.47;8283.39;7958.23
CLAUDIO CAJADO;74537;PP;BA;6627.97;6262.68;6000.07;8032.15;8257.18;7919.01;8363.72;8001.69
CLEBER VERDE;141408;REPUBLICANOS;MA;2019.73;2220.49;63011.21;6176.5;15725.37;64285.1;5367.24;6403.46
CORONEL ARMANDO;204376;PSL;SC;4559.49;2730.83;5670.94;5257.51;4179.54;4968.64;4897.96;2688.26
CORONEL CHRISÓSTOMO;204378;PSL;RO;19953.42;4555.27;16007.08;8433.09;17099.52;5829.16;15573.58;2199.17
CORONEL TADEU;204514;PSL;SP;5921.78;4892.15;2351.86;5931.16;5894.16;5812.64;3697.79;6295.87
CRISTIANO VALE;135054;PL;PA;22570.63;25955.84;22176.84;21908.72;11917.37;15439.49;14735.08;23628.46
DA VITORIA;204355;CIDADANIA;ES;18951.56;15927.65;11857.07;16077.62;18066.33;24132.79;12326.74;12198.6
DAGOBERTO NOGUEIRA;141411;PDT;MS;28790.79;23351.45;23819.28;22997.33;22216.55;23243.52;25092.69;23651.77
DAMIÃO FELICIANO;74467;PDT;PB;11372.33;31561.61;11153.26;11495.64;26262.7;29922.67;6776.95;27144.6
DANIEL ALMEIDA;74060;PCdoB;BA;26370.51;26394.97;25725.58;26875.37;25476.72;26136.79;32458.47;28900.82
DANIEL COELHO;178916;CIDADANIA;PE;4231.65;13303.53;3642.79;5654.5;4163.95;6957.06;4434.48;4824.57
DANIEL FREITAS;204367;PSL;SC;8764.44;8007.75;8489.29;8499.92;8234.7;8457.01;4784.95;4754.42
DANIEL SILVEIRA;204454;PSL;RJ;7831.66;8524.76;20606.74;28586.96;28627.8;31055.37;33104.23;30808.72
DANIEL TRZECIAK;204409;PSDB;RS;1263.36;6093.9;8633.58;10533.4;13048.09;12934.18;12645.54;10748.34
DANIELA DO WAGUINHO;204459;MDB;RJ;17343.28;15279.36;18071.52;21983.72;21656.86;25278.17;25716.5;21226.06
DANILO CABRAL;160528;PSB;PE;8026.66;11320.93;15334.22;16947.04;9674.65;37822.75;42445.15;8300.01
DANRLEI DE DEUS HINTERHOLZ;160552;PSD;RS;7942.51;8377.09;8297.35;8455.7;9988.17;8386.68;8077.45;8242.18
DARCI DE MATOS;116379;PSD;SC;9183.05;7539.12;11833.93;8579.25;5509.28;5571.76;6045.75;15931.64
DARCÍSIO PERONDI;73891;MDB;RS;20989.92;23246.31;9336.78;8288.74;9419.73;8872.03;8526.31;24083.89
DAVID MIRANDA;205548;PSOL;RJ;8877.02;29505.85;23316.36;23210.95;16037.91;13851.74;12813.12;8297.5
DAVID SOARES;204511;DEM;SP;6261.43;6220.75;7398.78;7625.84;7215.82;15132.56;2554.06;7164.2
